Capability,Service,ArchitecturePhase,Required,Status,EvidenceType,Evidence,AdminDependency,LicenseDependency,Risk,RecommendedAction,Notes
Teams,Teams,M365-6,Yes,NOT_VERIFIED,Architecture Requirement,RAE Document Governance team per M365 FoundationBlueprint.MD,Yes — team creation policy,Included in M365 Education A3/A5 (assumed),Low — supporting service,Request team creation or verify self-service policy,Not blocking for EA-3/EA-4
Teams Approvals,Teams,M365-6,Yes,NOT_VERIFIED,Standard Capability,Approvals app included with Teams,No — with Teams license,Included with Teams,Low — no known blocking,Verify Approvals app availability,Supporting service for approval workflows
Microsoft Forms,Forms,Supporting,No,NOT_VERIFIED,Architecture Requirement,Optional document request forms,No,Included in M365 Education (assumed),Low — optional,Defer evaluation,Not blocking — not required by architecture
Power BI,Power BI,M365-9,No,NOT_VERIFIED,Architecture Requirement,Governance dashboards per M365 FoundationBlueprint.MD,Yes — licensing,Yes — not in Education A3 (requires A5 or Pro),LOW — optional enhancement,Defer to M365-9,Use Lists views as alternative; do not block foundation
Microsoft Graph API,Graph API,EA-7/EA-8,Yes,NOT_VERIFIED,Standard Capability,Scheduled Export JSON via Graph API per registry-export-contract.md,Yes — app registration and admin consent,No,MEDIUM — admin dependency,Request app registration with Sites.Selected permission,Standard API capability
Azure / Entra App Registration,Entra,EA-7/EA-8,Yes,NOT_VERIFIED,Standard Capability,Required for scheduled export authentication,Yes — Entra admin consent,No,MEDIUM — admin dependency,Request app registration creation,Self-service registration may be available
Sites.Read.All (Graph),Graph API,EA-7,Alternative,NOT_VERIFIED,Standard Capability,Broad read-all permission,Yes — admin consent,No,MEDIUM — broad scope,Request Sites.Selected instead,Least-privilege alternative preferred
Sites.Selected (Graph),Graph API,EA-7,Yes,NOT_VERIFIED,Standard Capability,Preferred permission — scoped to specific site,Yes — admin consent,No,Low — least privilege,Request Sites.Selected scoped to RAE site,This is the recommended minimum permission
Copilot (M365),Copilot,Future,No,LIKELY_NOT_AVAILABLE,Standard Capability,Requires Copilot add-on license,Yes — licensing,Yes — Copilot license (~$30/user/mo),Low — not blocking,Defer evaluation,Do not block any architecture phase
SharePoint Term Store,SharePoint,EA-3,Yes,NOT_VERIFIED,Standard Capability,RAE-Tags term set per library-schema.md,Yes — Term Store admin,No,MEDIUM — Tags column blocked,Request RAE-Tags term set and group creation,Term Store admin is distinct from site admin
Microsoft 365 Groups,M365 Groups,EA-3/M365-6,Yes,NOT_VERIFIED,Standard Capability,Category Owner groups per permissions-matrix.md,Yes — tenant group creation policy,Included in M365 Education (assumed),MEDIUM — governs group creation,Request group creation or verify self-service policy,Groups underpin SharePoint site permissions
Version History,SharePoint,EA-3,Yes,NOT_VERIFIED,Architecture Requirement,Standard SharePoint feature per design; no tenant evidence for configuration,No,No,Low,Verify versioning settings after tenant evidence collected,Configurable library setting
Column Validation Formulas,Microsoft Lists,EA-4,Yes,NOT_VERIFIED,Architecture Requirement,"V1, V4, V14 per registry-validation-rules.md; no tenant evidence for Lists",No,No,Low — limited to single column,Verify column validation capability after tenant evidence collected,Cannot do cross-field validation
External Link Expiration,SharePoint,EA-7,No,NOT_VERIFIED,Architecture Requirement,Anonymous links may have expiration policy,Yes — tenant admin,No,MEDIUM — affects StorageURL durability,Verify link expiration policy with admin,Expired links break public portal
DLP Policies,Power Automate,EA-5,No,NOT_VERIFIED,Standard Capability,DLP may restrict connector usage,Yes — Power Automate admin,No,MEDIUM — may block connectors,Request DLP policy review from admin,Default environment likely open
Power Automate Environment,Power Automate,EA-5,No,NOT_VERIFIED,Standard Capability,Default environment vs dedicated,Yes — Power Automate admin,No,Low — default sufficient for start,Verify environment availability,Can use default environment initially
Storage Quota,SharePoint,EA-3,Yes,NOT_VERIFIED,Architecture Requirement,Minimum 100 GB per sharepoint-site-design.md,Yes — tenant admin for quota increase,Included with M365 Education (assumed),Medium — may need quota expansion,Verify current tenant storage quota,Education plans include significant storage
Thai Language Support,SharePoint,EA-3,Yes,NOT_VERIFIED,Architecture Requirement,Thai (th-TH) site language per sharepoint-site-design.md; no tenant evidence,No,No,Low,Verify Thai language option during site creation,Standard SharePoint language support assumed
Public File URL Behavior,SharePoint,EA-7,Yes,NOT_VERIFIED,Architecture Requirement,Direct file URLs may require authentication,Yes — tenant sharing policy,No,CRITICAL — StorageURL for public portal,Verify anonymous view-only link behavior,Direct file URL auth behavior depends on sharing policy
