rowId,issueType,severity,description,recommendedFix
RAE-DC-0024,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign policy owner
RAE-DC-0025,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign admin/records management owner
RAE-DC-0026,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign communications/brand owner
RAE-DC-0027,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign admin owner for sample letters group
RAE-DC-0028,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign admin owner for sample letters group
RAE-DC-0029,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign admin owner for sample letters group
RAE-DC-0030,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign admin owner for sample letters group
RAE-DC-0031,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign admin owner for sample letters group
RAE-DC-0027-0031,merge-candidate,LOW,5 sample letter documents (หนังสือภายใน/ภายนอก/คำสั่ง/ประกาศ/ประทับตรา) flagged for merge — review if a single reference document is better,Decide whether to keep as 5 separate entries or merge into 1 composite reference with sub-entries
RAE-DC-0032,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign admin/travel procedure owner
RAE-DC-0032,rewrite-unclear,LOW,Rewrite action flagged but no specific rewrite scope defined,Define what needs rewriting: content modernization vs format update vs policy change
RAE-DC-0033,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign HR/leave policy owner
RAE-DC-0034,review-no-rationale,MEDIUM,Review action lacks specific rationale — 'may link to external URL',Confirm if this is a standalone document or just a pointer to external personnel.mju.ac.th/leave.php
RAE-DC-0034,external-link-risk,LOW,Legacy source links to external URL (personnel.mju.ac.th/leave.php) — may not be a downloadable document,Verify if content exists as a document or is just a web page reference
RAE-DC-0034,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign HR policy owner
RAE-DC-0035,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign fleet/vehicle management owner
RAE-DC-0036,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign fleet/vehicle management owner
RAE-DC-0037,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign fleet/vehicle management owner
RAE-DC-0038,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign fleet/vehicle management owner
RAE-DC-0039,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign fleet/vehicle management owner
RAE-DC-0040,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign fleet/vehicle management owner
RAE-DC-0041,owner-tbd,MEDIUM,Owner is TBD — required before migration,Assign fleet/vehicle management owner
ALL,category-monoculture,MEDIUM,All 40 documents are in 'admin' category — 5 taxonomy categories unused,Review if some documents belong in other categories (e.g. manuals for regulations, policy-planning for strategic docs)
ALL,updatedDate-synthetic,INFO,All registry documents have updatedDate=2026-06-18 (generation date) — not actual document dates,Populate with real last-modified dates from legacy source when available
ALL,no-version-history,INFO,All documents default to version 1.0 — actual version history unknown,Verify actual versions from legacy files during OneDrive upload
ALL,storageUrl-pending,INFO,All storageUrl values are PENDING_ONEDRIVE — expected at this stage,No action needed until OneDrive provisioning
