documentId,title,category,proposedFolder,proposedFilename,owner,migrationAction,currentStatus,storageUrlStatus,humanActionRequired,notes
RAE-DC-0027,ตัวอย่างหนังสือราชการ หนังสือภายใน,admin,01-งานบริหารและธุรการ,RAE-DC-0027_ตัวอย่างหนังสือราชการ_หนังสือภายใน_v1.0.pdf,TBD,merge,current,pending,Assign owner; Upload to OneDrive; Create share link; Merge with other docs,Consider merging with other sample letter docs
RAE-DC-0028,ตัวอย่างหนังสือราชการ หนังสือภายนอก,admin,01-งานบริหารและธุรการ,RAE-DC-0028_ตัวอย่างหนังสือราชการ_หนังสือภายนอก_v1.0.pdf,TBD,merge,current,pending,Assign owner; Upload to OneDrive; Create share link; Merge with other docs,Consider merging with other sample letter docs
RAE-DC-0029,ตัวอย่างหนังสือราชการ คำสั่ง,admin,01-งานบริหารและธุรการ,RAE-DC-0029_ตัวอย่างหนังสือราชการ_คำสั่ง_v1.0.pdf,TBD,merge,current,pending,Assign owner; Upload to OneDrive; Create share link; Merge with other docs,Consider merging with other sample letter docs
RAE-DC-0030,ตัวอย่างหนังสือราชการ ประกาศ,admin,01-งานบริหารและธุรการ,RAE-DC-0030_ตัวอย่างหนังสือราชการ_ประกาศ_v1.0.pdf,TBD,merge,current,pending,Assign owner; Upload to OneDrive; Create share link; Merge with other docs,Consider merging with other sample letter docs
RAE-DC-0031,ตัวอย่างหนังสือราชการ หนังสือประทับตรา,admin,01-งานบริหารและธุรการ,RAE-DC-0031_ตัวอย่างหนังสือราชการ_หนังสือประทับตรา_v1.0.pdf,TBD,merge,current,pending,Assign owner; Upload to OneDrive; Create share link; Merge with other docs,Consider merging with other sample letter docs
RAE-DC-0032,ขั้นตอนการขออนุมัติเดินทางไปต่างประเทศ,admin,01-งานบริหารและธุรการ,RAE-DC-0032_ขั้นตอนการขออนุมัติเดินทางไปต่างประเทศ_v1.0.pdf,TBD,rewrite,current,pending,Assign owner; Upload to OneDrive; Create share link; Content rewrite needed,PDF only - may need modern rewrite
RAE-DC-0033,หลักเกณฑ์วิธีการประเภทการลาฯ ของพนักงานมหาวิทยาลัย พ.ศ.2561,admin,01-งานบริหารและธุรการ,RAE-DC-0033_หลักเกณฑ์วิธีการประเภทการลาฯ_ของพนักงานมหาวิทยาลัย_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,Standing regulation
RAE-DC-0034,สิทธิการลาของบุคลากรประเภทต่างๆ,admin,01-งานบริหารและธุรการ,RAE-DC-0034_สิทธิการลาของบุคลากรประเภทต่างๆ_v1.0.pdf,TBD,review,current,pending,Assign owner; Upload to OneDrive; Create share link; Human review needed,Verify current validity - may link to external URL
RAE-DC-0035,หลักเกณฑ์การขอใช้ยานพาหนะ อัตราค่าเชื้อเพลิง ค่าบำรุงรักษาฯ สำนักวิจัยฯ,admin,01-งานบริหารและธุรการ,RAE-DC-0035_หลักเกณฑ์การขอใช้ยานพาหนะ_อัตราค่าเชื้อเพลิง_ค่าบำ_v1.0.pdf,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,PDF only
RAE-DC-0036,ฟอร์มขอใช้ยานพาหนะ รถยนต์,admin,01-งานบริหารและธุรการ,RAE-DC-0036_ฟอร์มขอใช้ยานพาหนะ_รถยนต์_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0037,ฟอร์มขอใช้ยานพาหนะ รถจักรยานยนต์,admin,01-งานบริหารและธุรการ,RAE-DC-0037_ฟอร์มขอใช้ยานพาหนะ_รถจักรยานยนต์_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0038,ฟอร์มขอเบิกน้ำมันเชื้อเพลิง,admin,01-งานบริหารและธุรการ,RAE-DC-0038_ฟอร์มขอเบิกน้ำมันเชื้อเพลิง_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0039,แบบรายงานประจำเดือน การใช้รถยนต์,admin,01-งานบริหารและธุรการ,RAE-DC-0039_แบบรายงานประจำเดือน_การใช้รถยนต์_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0040,แบบรายงานการซ่อมบำรุงยานพาหนะ,admin,01-งานบริหารและธุรการ,RAE-DC-0040_แบบรายงานการซ่อมบำรุงยานพาหนะ_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
RAE-DC-0041,ฟอร์มใบปะหน้ารายงานการใช้รถยนต์,admin,01-งานบริหารและธุรการ,RAE-DC-0041_ฟอร์มใบปะหน้ารายงานการใช้รถยนต์_v1.0.docx,TBD,keep,current,pending,Assign owner; Upload to OneDrive; Create share link,WORD only
